PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
4ClTol;4-chloortolueen;106-43-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
pcresl;p-cresol;106-44-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
14DClBen;1,4-dichloorbenzeen;106-46-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4ClAn;4-chlooraniline;106-47-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4ClFol;4-chloorfenol;106-48-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4C1yAn;4-methylaniline;106-49-0;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
14DAoBen;1,4-diaminobenzeen;106-50-3;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
quinne;chinon;106-51-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
iC4yaclt;isobutylacrylaat;106-63-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
AMPA;aminomethylfosfonzuur;1066-51-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
petoamd;pethoxamid;106700-29-2;FYSISCH-CHEMISCH;ChemischeStof;;7-4-2012;Gepubliceerd
C1yC6yat;methylhexylaat;106-70-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C7azrC1yEsr;heptaanzuur methylester;106-73-0;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
12C4yeO;1,2-butyleenoxide;106-88-7;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
epClhdne;epichloorhydrine;106-89-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
12DBrC2a;1,2-dibroomethaan;106-93-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
